id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country
1;Chelsey;Wyman;FEMALE;"bptzvv3azdxbwkdbkv@otkf.kosf";933-832-6801;Principal Sahara;Kong deposit;Retaview;Macedonia
2;Chaim;Gibson;OTHER;"q-br@0fgy0t4124p1.rv";928-940-2683 x306;Ergonomic Generic bluetooth;copying;Lake Kellie;Sri Lanka
3;Lyda;Borer;OTHER;"atoo@9itqxnex1k7t.cjgk";726.864.1029 x1736;invoice Tuna Pine;Rhode Handcrafted;Heaneyton;Bouvet Island (Bouvetoya)
4;Colten;Gaylord;MALE;"d1z75ufwq5hp+@ol301m.gbro";746.282.3886;Cliff Metrics;redefine;Reganberg;Bangladesh
5;Brendan;Keebler;OTHER;"9.pe.p8j0._@q5i.ukz";395-512-6806 x18524;compressing;intuitive black Small;Greenside;Nepal
6;Alycia;Sporer;OTHER;"ckd67-w4o3v@6uelw4r1kgff.jf";628-954-6649;SMTP Licensed Man;Meadows Brand;Collinsmouth;Trinidad and Tobago
7;Kale;Denesik;OTHER;"0rnilf9p6aumsi@bfg1l1c.htd";884.777.8715 x990;deliverables;neural Mouse transmit;Kelsiview;Japan
8;Mable;Quitzon;MALE;"g.bdu.wt-@hxd7jqjzrrjbt5.ul";(460) 678-9541;deposit;Dam up;Schillerport;Saint Vincent and the Grenadines
9;Lucinda;Erdman;FEMALE;"6hy1@mc57xmupgu19doo.qkqz";645-730-5924 x0823;parsing payment;Global;Lianaland;Benin
10;Destiny;Waelchi;FEMALE;"1ar9dt46ig@jccz9kxv0s9d.az";(654) 890-7049;Antillian Music open-source;Well;Lake Alexa;Japan
